,work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,SE,FT,Data Engineer,USD,140250,US,100,US,M
1,2022,SE,FT,Data Engineer,USD,135000,US,100,US,M
2,2021,MI,FT,BI Data Analyst,USD,100000,US,100,US,M
3,2021,MI,CT,ML Engineer,USD,270000,US,100,US,L
4,2021,MI,FT,Data Engineer,EUR,26005,RO,0,US,L
5,2022,MI,FT,Machine Learning Scientist,USD,153000,US,50,US,M
6,2020,EN,FT,Data Scientist,EUR,51321,FR,0,FR,S
7,2021,EN,FT,Data Scientist,EUR,49646,FR,50,FR,M
8,2022,MI,FT,Data Engineer,EUR,76940,GR,100,GR,M
9,2021,EN,FT,Data Analyst,EUR,59102,FR,50,FR,M
10,2020,MI,FT,Data Scientist,EUR,62726,FR,50,LU,S
11,2022,SE,FT,Data Engineer,USD,110500,US,100,US,M
12,2022,SE,FT,Data Engineer,USD,136994,US,100,US,M
13,2021,MI,FT,Machine Learning Engineer,EUR,24823,SI,50,SI,L
14,2020,SE,FT,Principal Data Scientist,EUR,148261,DE,100,DE,M
15,2022,SE,FT,Data Engineer,USD,175000,US,100,US,M
16,2020,MI,FT,Data Engineering Manager,EUR,59303,DE,100,DE,S
17,2021,MI,FT,Data Engineer,USD,112000,US,100,US,L
18,2021,EN,FT,Data Engineer,INR,30428,IN,100,IN,L
19,2022,SE,FT,Data Analytics Manager,USD,109280,US,100,US,M
20,2020,SE,FT,Big Data Engineer,GBP,109024,GB,50,GB,M
21,2021,MI,FL,Machine Learning Scientist,USD,12000,PK,50,PK,M
22,2022,SE,FT,Data Engineer,USD,154000,US,100,US,M
23,2021,MI,FT,Data Scientist,USD,160000,US,100,US,L
24,2021,MI,FT,Big Data Engineer,USD,18000,MD,0,MD,S
25,2021,MI,FT,ML Engineer,JPY,77364,JP,50,JP,S
26,2022,SE,FT,Data Engineer,USD,132320,US,0,US,M
27,2021,MI,FT,Data Scientist,USD,130000,US,50,US,L
28,2022,SE,FT,Data Analyst,USD,69000,US,100,US,M
30,2021,EN,FT,Research Scientist,GBP,82528,GB,50,GB,L
32,2022,SE,FT,Machine Learning Developer,CAD,78791,CA,100,CA,M
33,2022,EN,FT,Computer Vision Engineer,USD,10000,PT,100,LU,M
34,2021,MI,FT,Research Scientist,EUR,56738,FR,50,FR,S
35,2022,SE,FT,Data Analyst,USD,150075,US,100,US,M
36,2022,MI,FT,Data Scientist,USD,160000,US,100,US,M
38,2021,EN,FT,AI Scientist,INR,18053,IN,100,AS,S
39,2022,SE,FT,Data Scientist,GBP,104702,GB,0,GB,M
42,2020,SE,FT,Machine Learning Manager,CAD,117104,CA,50,CA,L
43,2022,SE,FT,Machine Learning Engineer,EUR,71444,IE,100,IE,S
45,2020,MI,FT,Lead Data Scientist,USD,115000,AE,0,AE,L
46,2021,MI,FL,Data Engineer,USD,20000,IT,0,US,L
47,2021,MI,FT,Data Engineer,USD,140000,US,100,US,L
48,2022,MI,FT,Machine Learning Engineer,GBP,98158,GB,0,GB,M
49,2022,SE,FT,Data Scientist,USD,215300,US,100,US,L
50,2022,SE,FT,Data Analyst,USD,81666,US,100,US,M
51,2021,MI,FT,Data Scientist,MXN,2859,MX,0,MX,S
52,2022,MI,FT,Data Engineer,USD,99100,US,0,US,M
55,2022,SE,FT,Data Analyst,USD,115934,US,100,US,M
56,2021,SE,FT,Data Analytics Manager,USD,120000,US,100,US,M
57,2021,EX,FT,Director of Data Science,EUR,141846,DE,0,DE,L
