,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
4,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L
6,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S
7,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
8,2022,MI,FT,Data Engineer,70000,EUR,76940,GR,100,GR,M
9,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M
10,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S
13,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
14,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M
16,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S
18,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L
20,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M
25,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
29,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
30,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L
32,2022,SE,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
34,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S
38,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
39,2022,SE,FT,Data Scientist,80000,GBP,104702,GB,0,GB,M
42,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L
43,2022,SE,FT,Machine Learning Engineer,65000,EUR,71444,IE,100,IE,S
48,2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M
51,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S
57,2021,EX,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,L
59,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
