,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
1,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
3,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
5,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
11,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
12,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
15,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
17,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
19,2022,SE,FT,Data Analytics Manager,109280,USD,109280,US,100,US,M
21,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
22,2022,SE,FT,Data Engineer,154000,USD,154000,US,100,US,M
23,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
24,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
26,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
27,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
28,2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M
33,2022,EN,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M
35,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
36,2022,MI,FT,Data Scientist,160000,USD,160000,US,100,US,M
45,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L
46,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
47,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
49,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
50,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
52,2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M
55,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
56,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
58,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
60,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
61,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
64,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
65,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
70,2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
72,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
73,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
75,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
78,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
80,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
81,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
82,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
84,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
85,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
86,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
87,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
88,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
92,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
93,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
94,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
96,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
99,2022,SE,FT,Data Engineer,126000,USD,126000,US,100,US,M
102,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
103,2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
104,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
105,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
106,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
107,2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M
108,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
112,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
113,2022,SE,FT,Data Scientist,176000,USD,176000,US,100,US,M
117,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
118,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
119,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
120,2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M
121,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
122,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S
124,2022,SE,FT,Data Architect,144854,USD,144854,US,100,US,M
125,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
126,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
128,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
129,2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
130,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
132,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
134,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
135,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
136,2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
139,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
140,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
141,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L
142,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
144,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
147,2022,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M
149,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
151,2022,EN,FT,Data Analyst,67000,USD,67000,CA,0,CA,M
154,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
155,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
158,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
159,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
160,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S
166,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
167,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
168,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
170,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
171,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
173,2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M
175,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
176,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
177,2022,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
179,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L
180,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
181,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
182,2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M
183,2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
184,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
187,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
192,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
195,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
198,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
199,2022,EN,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
200,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
203,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
204,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M
205,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
209,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
